brand;revenue
runail;343306.15
grattol;266295.94
irisk;223771.21
uno;190719.46
strong;151941.8
masura;138568.45
jessnail;134775.04
ingarden;124570.0
estel;121714.03
cnd;106327.8
italwax;103952.8
browxenna;63280.94
kapous;62663.34
beautix;56984.01
lovely;54502.05
concept;53572.58
cosmoprofi;53542.73
max;51791.24
staleks;49770.28
domix;49766.72
bluesky;47900.96
marathon;47677.35
yoko;46424.17
haruyama;45241.78
bpw.style;44634.7
oniq;41813.32
pole;41357.73
polarus;41028.13
lianail;40211.16
zinger;37980.21
f.o.x;33902.79
kinetics;29277.85
pnb;27694.38
metzger;27655.77
severina;26263.7
sunuv;25557.7
nagaraku;24900.91
freedecor;22714.03
milv;22474.08
smart;22327.37
airnails;21761.74
thuya;21720.66
emil;21521.89
uskusi;21040.17
kaaral;20021.11
roubloff;18809.73
shik;17952.28
matrix;17157.24
jas;16359.98
artex;15946.37
rosi;15652.75
levrana;15344.95
benovy;14683.04
refectocil;13207.27
depilflax;12872.99
art-visage;12092.12
swarovski;11474.24
solomeya;11195.19
levissime;10965.71
nitrimax;10645.63
dewal;10102.41
markell;9982.47
kaypro;8755.43
missha;8303.68
farmona;8107.63
de.lux;8033.2
insight;8008.5
coifin;7131.0
lador;6970.92
bodyton;6762.27
opi;6652.76
gehwol;6479.81
limoni;6305.83
bioaqua;6227.63
farmstay;6218.84
farmavita;5961.69
joico;5871.72
sophin;5865.53
zeitun;5412.17
ardell;5361.01
orly;4933.46
jaguar;4857.92
shary;4690.21
dizao;4592.33
kosmekka;4495.0
beauty-free;4354.08
happyfons;4279.93
nitrile;4231.83
lamixx;4221.13
petitfee;4138.76
provoc;4031.99
lsanic;4008.52
ecolab;3922.91
almea;3675.87
skinlite;3594.17
batiste;3446.53
sanoto;3406.52
keune;3158.47
profhenna;3028.94
konad;2989.63
kiss;2969.36
lakme;2809.12
cristalinas;2746.77
siberina;2712.37
kocostar;2701.2
gezatone;2665.39
babyliss;2626.4
igrobeauty;2578.15
trind;2515.88
lowence;2505.41
osmo;2450.35
beauugreen;2435.48
estelare;2372.99
enigma;2364.6
mavala;2254.32
kerasys;2214.36
relouis;2175.72
godefroy;2149.95
chi;2126.13
entity;2123.67
vosev;2117.54
ypsed;2091.07
matreshka;2080.31
yu-r;2058.52
freshbubble;2042.71
kims;2033.04
ellips;1983.54
s.care;1944.77
naomi;1824.19
koelf;1822.91
biofollica;1754.56
riche;1723.76
barex;1699.74
likato;1664.79
cutrin;1664.24
dermacol;1604.44
keen;1526.06
bielenda;1506.24
inm;1489.37
latinoil;1477.75
elskin;1454.49
i-laq;1425.62
protokeratin;1413.43
deoproce;1407.56
kezy;1387.32
candy;1381.03
yllozure;1363.43
dermal;1308.44
parachute;1303.66
meisterwerk;1282.42
eunyul;1255.34
dartnails;1229.93
greymy;1187.9
laboratorium;1183.38
treaclemoon;1181.1
lebelage;1124.77
avene;1109.59
balbcare;1090.47
soleo;1028.93
estrade;972.17
beautific;969.84
moyou;963.08
cruset;961.25
naturmed;891.44
miskin;868.97
tannymaxx;845.14
consly;818.43
nefertiti;817.0
carmex;811.0
mane;802.1
luxvisage;773.95
vilenta;746.35
tertio;745.87
coxir;738.7
ecocraft;731.94
dr.gloderm;719.5
ladykin;697.19
bespecial;667.96
nirvel;614.99
elizavecca;608.25
neoleor;604.27
bergamo;602.06
coocla;564.82
aura;548.21
beautyblender;526.6
litaline;497.69
eos;497.42
koreatida;495.46
ermine;477.21
profepil;472.66
grace;461.05
sawa;460.77
note;456.81
vichy;417.68
glysolid;410.65
biorepair;404.07
fancy;388.12
egomania;387.07
inoface;381.85
biore;378.01
finish;375.75
kamill;352.26
fedua;345.4
marutaka-foot;323.65
plazan;314.66
veraclara;306.85
mayamy;298.81
labay;295.84
herbolive;294.13
enjoy;291.08
supertan;281.18
dorena;274.85
koelcia;271.1
bioderma;267.81
mielle;253.81
kondor;229.06
termix;219.04
skipofit;208.18
blixz;207.92
tosowoong;155.33
sun;148.28
esquire;146.05
foamie;139.02
radius;110.3
resize;107.32
enas;103.53
kares;100.75
rasyan;96.62
cettua;90.7
dobrovit;86.83
binacil;80.59
cosima;78.05
arganoil;73.21
juno;64.7
everyang;45.62
fly;44.31
andrea;33.24
skinity;30.2
frozen;28.7
tazol;25.13
weaver;23.2
barbie;21.76
bosnic;20.94
philips;18.87
lunaris;16.19
ovale;16.12
pilaten;8.09
rocknailstar;6.66
helloganic;3.1
rorec;1.4
